longest reception, name, receiving conversions, receiving touchdowns, receiving yards, receptions, targets
,Alex Erickson,,0,28,4,4
14,Tyler Boyd,,0,60,8,11
,John Ross,,2,158,7,12
,Joe Mixon,,0,7,2,3
,Damion Willis,,0,30,3,5
0,Kyle Rudolph,,0,0,0,1
23,Adam Thielen,,1,43,3,3
31,Stefon Diggs,,0,37,2,2
8,Dalvin Cook,,0,9,2,2
9,Chad Beebe,,0,9,1,1
10,Julio Jones,,1,31,6,11
,Luke Stocker,,0,0,0,1
23,Mohamed Sanu,,0,57,5,6
7,Devonta Freeman,,0,12,3,4
23,Justin Hardy,,0,41,4,5
16,Austin Hooper,,0,77,9,9
9,Ito Smith,,0,9,1,1
,Russell Gage,,0,13,1,2
20,Calvin Ridley,,1,64,4,6
,Dwayne Harris,,0,7,1,1
9,Ryan Grant,,0,16,3,4
25,Darren Waller,,0,70,7,8
43,Tyrell Williams,,1,105,6,7
11,Foster Moreau,,0,20,2,2
10,Hunter Renfrow,,0,13,2,3
28,Josh Jacobs,,0,28,1,1
53,Emmanuel Sanders,,1,86,5,7
10,Phillip Lindsay,,0,23,4,6
30,Courtland Sutton,,0,120,7,8
7,Dae Sean Hamilton,,0,5,2,4
5,Royce Freeman,,0,5,1,1
20,Noah Fant,,0,29,2,5
41,Ted Ginn,,0,101,7,7
31,Jared Cook,,0,37,2,3
-2,Josh Hill,,0,-2,1,1
3,Latavius Murray,,0,4,2,3
24,Michael Thomas,,0,123,10,13
9,Taysom Hill,,1,9,1,2
41,Alvin Kamara,,0,72,7,8
14,Tre Quan Smith,,1,26,2,2
0,Darren Fells,,0,0,0,1
37,Kenny Stills,,1,37,3,3
38,DeAndre Hopkins,,2,111,8,13
2,Carlos Hyde,,0,2,1,1
-1,DeAndre Carter,,0,-1,1,1
13,Duke Johnson,,0,33,4,5
54,Will Fuller,,0,69,2,3
17,Jordan Akins,,0,17,1,2
41,Greg Olsen,,0,110,6,9
12,Chris Hogan,,0,12,1,1
9,Jarius Wright,,0,15,2,6
10,Christian McCaffrey,,0,16,2,6
44,Curtis Samuel,,0,91,5,13
18,DJ Moore,,0,89,9,14
5,Cameron Brate,,0,10,2,2
41,Mike Evans,,0,61,4,8
0,Breshad Perriman,,0,0,0,4
7,Peyton Barber,,0,7,1,1
9,Dare Ogunbowale,,0,9,1,1
24,Chris Godwin,,1,121,8,9
7,Giovani Bernard,,0,7,1,3
,Tyler Eifert,,1,9,3,5
14,Alex Erickson,,0,14,1,3
47,Tyler Boyd,,0,122,10,10
,John Ross,,1,112,4,8
,Joe Mixon,,0,10,3,5
,Auden Tate,,0,6,1,2
6,Damion Willis,,0,6,1,3
,Drew Sample,,0,25,2,3
5,Kyle Juszczyk,,0,5,1,2
38,Marquise Goodwin,,1,77,3,3
,Raheem Mostert,,1,68,3,4
,George Kittle,,0,54,3,3
4,Kendrick Bourne,,0,4,1,2
,Matt Breida,,0,11,1,1
,Richie James,,0,7,1,4
39,Deebo Samuel,,1,87,5,7
21,Emmanuel Sanders,1,1,98,11,13
8,Jeff Heuerman,,0,21,4,5
19,Phillip Lindsay,,0,30,4,7
16,Courtland Sutton,,0,40,4,7
9,Dae Sean Hamilton,,0,15,2,6
7,Troy Fumagalli,,0,7,1,1
19,Royce Freeman,,0,48,5,7
24,Noah Fant,,0,33,4,4
5,Trey Burton,,0,5,2,3
11,Taylor Gabriel,,0,11,1,2
25,Allen Robinson,,0,41,4,7
18,Ben Braunecker,,0,24,2,3
16,Tarik Cohen,,0,7,2,5
9,Adam Shaheen,,0,24,3,3
2,Anthony Miller,,0,2,1,1
6,David Montgomery,,0,6,1,3
13,Allen Hurns,,0,13,1,2
0,DeVante Parker,,0,0,0,7
,Nick O Leary,,0,6,1,1
16,Jakeem Grant,,0,22,3,7
10,Kenyan Drake,,0,29,5,6
12,Mark Walton,,0,12,1,2
24,Durham Smythe,,0,24,1,1
,Kalen Ballage,,0,6,1,5
11,Mike Gesicki,,0,11,1,2
17,Preston Williams,,0,63,4,6
18,Julian Edelman,,0,51,4,4
20,Antonio Brown,,1,56,4,8
14,Josh Gordon,,0,19,2,5
32,Rex Burkhead,,0,47,2,2
10,James White,,1,19,3,4
23,Matt LaCosse,,0,33,2,2
18,Phillip Dorsett,,0,39,3,3
54,Julio Jones,,2,106,5,10
4,Luke Stocker,,0,4,1,1
7,Mohamed Sanu,,0,16,4,7
28,Devonta Freeman,,0,42,3,4
0,Justin Hardy,,0,0,0,1
14,Austin Hooper,,0,34,4,6
8,Ito Smith,,0,13,2,3
,Russell Gage,,0,0,0,1
34,Calvin Ridley,,1,105,8,10
3,Darren Sproles,,0,5,2,3
16,Zach Ertz,1,0,72,8,16
43,Nelson Agholor,,1,107,8,11
8,Jordan Howard,,0,8,1,1
17,Mack Hollins,,0,50,5,8
7,Miles Sanders,,0,9,3,4
4,JJ Arcega Whiteside,,0,4,1,4
8,Rhett Ellison,,0,8,1,1
12,Russell Shepard,,0,19,2,3
14,Bennie Fowler,,0,51,5,10
28,TJ Jones,,1,38,3,4
14,Cody Latimer,,0,30,3,5
11,Cody Core,,0,28,3,5
33,Evan Engram,,0,48,6,8
,Wayne Gallman,,0,0,0,1
19,Saquon Barkley,,0,28,3,7
9,Frank Gore,,0,15,2,2
8,Lee Smith,,0,8,1,1
3,Patrick DiMarco,,0,3,1,1
51,Cole Beasley,,0,83,4,4
17,John Brown,,0,72,7,8
26,Isaiah McKenzie,,1,40,2,2
14,Zay Jones,,0,14,1,3
0,Robert Foster,,0,0,0,2
,Tommy Sweeney,,0,0,0,1
18,Dawson Knox,,0,18,1,4
0,Danny Amendola,,0,0,0,1
24,Marvin Jones,,0,43,5,6
7,Logan Thomas,,0,7,1,1
7,Jesse James,,0,18,3,4
31,Kenny Golladay,,1,117,8,10
36,Kerryon Johnson,,1,47,2,3
7,TJ Hockenson,,0,7,1,3
6,Ty Johnson,,0,6,2,2
9,Virgil Green,,0,9,1,2
28,Dontrelle Inman,,0,28,1,2
0,Travis Benjamin,,0,0,0,2
23,Keenan Allen,,0,98,8,15
3,Derek Watt,,0,3,1,2
47,Mike Williams,,0,83,3,5
35,Austin Ekeler,,0,67,6,6
5,Justin Jackson,,0,5,1,1
,Marcedes Lewis,,0,0,0,1
0,Jimmy Graham,,0,0,0,2
39,Davante Adams,,0,106,7,9
12,Jake Kumerow,,0,12,1,1
12,Geronimo Allison,,1,25,4,5
15,Aaron Jones,,0,34,4,6
15,Jamaal Williams,,1,13,3,4
14,Marquez Valdes Scantling,,0,19,3,6
5,Kyle Rudolph,,0,9,3,5
30,Adam Thielen,,0,75,5,8
45,Stefon Diggs,,1,49,1,7
0,CJ Ham,,0,0,0,3
13,Dalvin Cook,,0,37,3,3
61,Chad Beebe,,0,61,1,2
-1,Irv Smith,,0,-1,1,2
25,Derek Carrier,,0,33,3,5
-2,Ryan Grant,,0,-2,1,5
16,Darren Waller,,0,63,6,7
19,Tyrell Williams,,1,46,5,7
20,DeAndre Washington,,0,26,2,2
8,Jalen Richard,,0,2,2,3
11,Hunter Renfrow,,0,30,4,8
5,LeSean McCoy,,0,0,3,3
34,Travis Kelce,,1,107,7,9
32,Damien Williams,,0,48,3,5
6,DeAnthony Thomas,,0,6,1,1
14,Sammy Watkins,,0,49,6,13
0,Blake Bell,,0,0,0,1
44,Demarcus Robinson,,2,172,6,6
42,Mecole Hardman,,1,61,4,6
19,Robert Woods,,0,33,2,2
57,Brandin Cooks,,1,74,3,4
10,Malcolm Brown,,0,10,1,1
9,Todd Gurley,,0,4,3,4
18,Tyler Higbee,,0,21,2,3
11,Gerald Everett,,0,21,3,5
66,Cooper Kupp,,0,120,5,9
18,Jared Cook,,0,25,2,7
0,Zach Line,,0,0,0,1
16,Latavius Murray,,0,16,1,1
19,Michael Thomas,,0,89,10,13
9,Taysom Hill,,0,16,2,3
15,Alvin Kamara,,0,15,1,3
28,Tre Quan Smith,,0,49,3,3
-7,Deonte Harris,,0,-7,1,1
20,Mark Ingram,,0,30,2,2
5,Willie Snead,,0,5,1,1
14,Nick Boyle,,0,14,1,3
3,Patrick Ricard,,0,3,1,1
28,Mark Andrews,,1,112,8,9
1,Hayden Hurst,,1,1,1,1
10,Justice Hill,,0,10,1,2
41,Marquise Brown,,0,86,8,13
11,Miles Boykin,,0,11,1,3
54,Larry Fitzgerald,,0,104,5,11
9,Michael Crabtree,,0,13,2,3
6,Charles Clay,,0,6,1,2
21,Maxx Williams,,0,21,1,1
13,Damiere Byrd,,0,45,6,7
0,David Johnson,,0,0,1,1
10,Chase Edmonds,,0,15,2,2
34,Christian Kirk,,0,114,6,8
31,Kee Sean Johnson,1,0,31,1,2
15,Vernon Davis,,0,29,3,4
7,Adrian Peterson,,0,7,2,2
16,Chris Thompson,,0,48,5,8
9,Paul Richardson,,1,16,3,3
5,Wendell Smallwood,,0,9,2,2
11,Jeremy Sprinkle,,0,11,1,1
12,Trey Quinn,,0,36,4,7
,Steven Sims,,0,3,1,1
27,Terry McLaurin,,1,62,5,9
18,Jason Witten,,1,25,4,4
9,Randall Cobb,,0,24,5,6
18,Amari Cooper,,1,44,4,5
51,Devin Smith,,1,74,3,3
9,Ezekiel Elliott,,0,9,2,2
22,Blake Jarwin,,0,22,1,1
16,Michael Gallup,,0,68,6,8
3,Tony Pollard,,0,3,1,1
8,Vance McDonald,,2,38,7,7
0,Xavier Grimble,,0,0,0,1
,Donte Moncrief,,0,0,0,1
0,Johnny Holton,,0,0,0,1
9,James Conner,,0,12,3,4
0,Ryan Switzer,,0,0,1,4
45,Ju Ju Smith Schuster,,0,84,5,8
13,Jaylen Samuels,,0,13,1,1
12,James Washington,,0,23,2,3
17,Diontae Johnson,,0,17,1,4
22,Tyler Lockett,,0,79,10,12
9,CJ Prosise,,0,13,3,3
13,Nick Vannett,,0,13,1,1
10,Chris Carson,,0,27,3,3
14,Will Dissly,,2,50,5,5
3,Rashaad Penny,,0,3,1,1
30,Malik Turner,,0,54,3,3
28,DK Metcalf,,1,61,3,7
,Darren Fells,,0,9,1,3
31,Kenny Stills,,0,38,2,3
14,DeAndre Hopkins,,0,40,5,8
0,Duke Johnson,,0,0,0,1
28,Will Fuller,,0,40,4,7
,Jordan Akins,,0,25,2,3
,Keke Coutee,,0,7,2,4
,James O Shaughnessy,,0,28,4,4
31,Chris Conley,,0,73,4,5
,Geoff Swaim,,0,14,3,4
,Dede Westbrook,,0,3,1,5
20,Leonard Fournette,,0,40,4,6
14,DJ Chark,,1,55,7,9
15,Delanie Walker,,0,39,4,6
5,Dion Lewis,,0,5,1,1
1,David Quessenberry,,1,1,1,1
11,Darius Jennings,,0,11,1,1
0,Adam Humphries,,0,-1,2,2
9,Derrick Henry,,0,12,2,3
15,Tajae Sharpe,,0,24,2,2
25,Corey Davis,,0,38,3,5
11,AJ Brown,,0,25,3,5
19,TY Hilton,,1,43,4,6
13,Jack Doyle,,0,21,2,3
13,Eric Ebron,,1,25,3,4
15,Chester Rogers,,0,24,3,4
0,Mo Alie Cox,,0,0,0,1
9,Marlon Mack,,0,12,2,3
5,Nyheim Hines,,0,5,1,2
4,Jordan Wilkins,,0,4,1,1
0,Deon Cain,,0,0,0,1
12,Parris Campbell,,1,12,1,1
-1,Demaryius Thomas,,0,-1,1,2
5,Josh Bellamy,,0,5,1,2
0,Ryan Griffin,,0,0,0,1
17,LeVeon Bell,,0,61,10,10
30,Jamison Crowder,,0,40,4,6
9,Ty Montgomery,,0,15,3,3
36,Robby Anderson,,0,81,4,6
4,Demetrius Harris,,0,4,1,1
89,Odell Beckham,,1,161,6,10
25,Jarvis Landry,,0,32,3,7
0,Pharaoh Brown,,0,0,0,1
0,David Njoku,,0,0,0,1
,Taywan Taylor,,0,0,0,1
29,Damion Ratley,,0,50,2,3
13,Nick Chubb,,0,36,4,4
27,D Ernest Johnson,,0,42,3,4
,James O Shaughnessy,,1,18,2,3
15,Chris Conley,,0,30,2,3
,Geoff Swaim,,0,8,1,2
28,Dede Westbrook,,0,46,5,9
9,Leonard Fournette,,0,26,6,8
37,DJ Chark,,1,76,4,5
29,Delanie Walker,,0,64,7,9
,Dion Lewis,,0,7,1,1
,Darius Jennings,,0,0,0,2
30,Adam Humphries,,0,93,6,9
2,Derrick Henry,,0,2,1,2
47,Tajae Sharpe,,0,70,2,3
20,Jonnu Smith,,0,20,2,3
19,Corey Davis,,0,44,3,4
,AJ Brown,,0,4,1,5
,Frank Gore,,0,13,2,2
0,Lee Smith,,0,0,0,1
10,Cole Beasley,1,0,48,8,10
27,John Brown,,0,51,4,5
,TJ Yeldon,,0,19,2,3
,Isaiah McKenzie,,0,9,1,1
,Zay Jones,,0,33,2,3
,Robert Foster,,0,0,0,1
,Tommy Sweeney,,0,3,1,3
49,Dawson Knox,,1,67,3,4
,Giovani Bernard,,0,7,2,2
,Tyler Eifert,,0,18,1,1
,CJ Uzomah,,0,0,0,1
,Alex Erickson,,0,13,1,1
26,Tyler Boyd,,0,67,6,11
,John Ross,,0,22,2,6
33,Joe Mixon,,1,34,2,2
32,Auden Tate,,0,88,6,10
2,Demetrius Harris,,1,2,1,2
19,Odell Beckham,,0,56,6,9
27,Jarvis Landry,,0,62,3,9
14,Ricky Seals Jones,,0,14,1,2
16,Damion Ratley,,0,26,3,5
30,Nick Chubb,,0,35,4,7
18,Robert Woods,,0,40,3,8
23,Brandin Cooks,,0,112,8,12
0,Malcolm Brown,,0,0,0,1
0,Todd Gurley,,0,0,0,1
11,Gerald Everett,,0,15,2,2
22,Cooper Kupp,,2,102,11,12
0,Josh Reynolds,,0,0,0,2
6,Cameron Brate,,0,7,2,3
55,Mike Evans,,3,190,8,15
,Breshad Perriman,,0,6,1,2
5,Peyton Barber,,0,7,2,2
0,Antony Auclair,,0,0,0,1
,Bobo Wilson,,0,0,0,1
9,Dare Ogunbowale,,0,23,3,3
30,OJ Howard,,0,66,3,4
20,Chris Godwin,,0,40,3,4
41,Ronald Jones,,0,41,1,1
3,Rhett Ellison,,0,3,1,1
6,Russell Shepard,,0,6,1,5
5,Bennie Fowler,,0,5,1,2
36,Sterling Shepard,1,1,100,7,9
75,Evan Engram,,1,113,6,8
,Wayne Gallman,,0,0,0,1
19,Saquon Barkley,,0,27,4,5
46,Darius Slayton,,0,82,3,5
23,Larry Fitzgerald,,1,36,5,7
6,Michael Crabtree,,0,9,2,2
,Charles Clay,,0,9,1,1
11,Damiere Byrd,,0,9,2,4
17,David Johnson,,1,28,6,9
0,Trent Sherfield,,0,0,0,1
10,Chase Edmonds,,0,10,1,2
13,Christian Kirk,,0,59,10,12
5,Kee Sean Johnson,,0,13,3,4
20,Greg Olsen,,2,75,6,7
6,Chris Hogan,,0,6,1,2
33,Jarius Wright,,0,38,2,2
18,Christian McCaffrey,,0,35,3,4
15,Curtis Samuel,,1,53,5,7
2,Alex Armah,,0,2,1,1
52,DJ Moore,,1,52,1,2
,Lance Kendricks,,0,13,1,2
23,Dontrelle Inman,,0,23,1,3
12,Travis Benjamin,,0,5,2,5
34,Keenan Allen,,2,183,13,17
20,Mike Williams,,0,45,3,7
0,Sean Culkin,,0,0,0,1
13,Austin Ekeler,,0,45,7,7
9,Justin Jackson,,0,4,4,4
16,Darren Fells,,1,49,5,6
38,Kenny Stills,,0,89,4,6
34,DeAndre Hopkins,,0,67,6,7
15,Duke Johnson,,0,22,2,3
30,Will Fuller,,0,51,5,7
53,Jordan Akins,,2,73,3,5
14,LeSean McCoy,,1,26,3,3
21,Travis Kelce,,0,89,7,8
36,Sammy Watkins,,0,64,5,8
1,Blake Bell,,0,1,1,1
18,Demarcus Robinson,,1,43,3,4
7,Byron Pringle,,0,7,1,1
16,Darrel Williams,,0,47,5,5
83,Mecole Hardman,,1,97,2,5
13,Mark Ingram,,0,32,4,4
23,Willie Snead,,0,47,3,5
25,Seth Roberts,,0,37,2,2
23,Nick Boyle,,0,58,4,5
10,Gus Edwards,,0,15,2,2
5,Mark Andrews,,0,15,3,7
11,Hayden Hurst,,0,14,2,5
0,Justice Hill,,0,0,0,3
31,Marquise Brown,,0,49,2,9
,Miles Boykin,,0,0,0,1
26,TY Hilton,,1,65,8,10
14,Jack Doyle,,0,46,4,4
30,Eric Ebron,,0,47,3,4
16,Mo Alie Cox,,0,25,2,2
35,Zach Pascal,,1,53,2,3
9,Marlon Mack,,0,14,2,3
17,Nyheim Hines,,0,26,3,4
,Deon Cain,,0,10,1,3
11,Parris Campbell,,0,24,3,3
34,Julio Jones,,1,128,8,9
5,Luke Stocker,,0,12,3,4
16,Mohamed Sanu,,0,75,6,6
4,Kenjon Barner,,0,4,1,1
7,Devonta Freeman,,0,7,3,4
6,Justin Hardy,,0,6,1,1
20,Austin Hooper,,2,66,6,7
6,Calvin Ridley,,0,6,1,1
33,Jason Witten,,0,54,3,4
20,Randall Cobb,,0,23,2,4
37,Amari Cooper,,2,88,6,7
33,Devin Smith,,0,39,2,5
,Ezekiel Elliott,,0,14,2,3
,Blake Jarwin,,0,3,1,3
,Ced Wilson,,0,0,0,1
12,Tony Pollard,,0,25,3,3
,Allen Hurns,,0,6,1,2
40,DeVante Parker,,0,56,3,6
,Nick O Leary,,0,19,1,1
10,Jakeem Grant,,0,27,4,7
19,Kenyan Drake,,0,34,3,6
,Durham Smythe,,0,0,0,1
,Kalen Ballage,,0,10,1,3
5,Mike Gesicki,,0,9,3,3
25,Preston Williams,,0,68,4,12
0,Darren Sproles,,0,0,0,1
23,Zach Ertz,,0,64,4,7
20,Nelson Agholor,,2,50,8,12
0,Jordan Howard,,0,0,0,1
20,Mack Hollins,,0,62,4,7
0,Dallas Goedert,,0,0,0,1
40,Miles Sanders,,0,73,2,4
10,JJ Arcega Whiteside,,0,10,1,3
22,Danny Amendola,,0,37,4,5
27,Marvin Jones,,1,101,6,9
15,Logan Thomas,,0,15,1,1
13,Jesse James,,0,13,1,1
10,Kenny Golladay,,0,17,2,8
7,Kerryon Johnson,,0,7,1,1
10,Nick Bawden,,0,10,1,1
1,TJ Hockenson,,0,1,1,4
0,Ty Johnson,,0,0,1,2
27,Kyle Juszczyk,,0,51,3,3
25,Marquise Goodwin,,0,41,2,2
,Raheem Mostert,,0,0,0,1
12,George Kittle,,0,57,6,8
,Kendrick Bourne,,0,22,1,3
15,Matt Breida,,0,20,2,3
0,Jeff Wilson,,0,0,0,1
,Richie James,,0,22,2,2
12,Dante Pettis,,1,20,4,5
20,Deebo Samuel,,0,44,3,4
10,Vance McDonald,,0,10,1,2
3,Xavier Grimble,,0,3,1,2
5,James Conner,,0,14,4,5
76,Ju Ju Smith Schuster,,1,81,3,7
8,James Washington,,0,14,2,4
39,Diontae Johnson,,1,52,3,6
19,Marcedes Lewis,,0,19,1,2
0,Jimmy Graham,,0,0,0,1
22,Davante Adams,,0,56,4,4
,Geronimo Allison,,0,-1,1,3
27,Danny Vitale,,0,27,1,1
4,Aaron Jones,,0,4,1,1
4,Robert Tonyan,,0,4,1,3
17,Jamaal Williams,,0,27,2,2
40,Marquez Valdes Scantling,,1,99,6,10
6,Emmanuel Sanders,,0,10,2,4
10,Jeff Heuerman,,0,20,2,2
36,Phillip Lindsay,,0,49,4,5
52,Courtland Sutton,,0,87,5,8
9,Royce Freeman,,0,10,4,5
0,Andrew Beck,,0,0,0,1
17,Noah Fant,,0,37,3,3
15,Julian Edelman,,1,62,7,10
11,Brandon Bolden,,0,21,2,3
28,Josh Gordon,,0,83,6,11
7,Rex Burkhead,,0,22,6,7
25,Phillip Dorsett,,1,53,6,7
,Ryan Izzo,,0,41,1,1
0,Sony Michel,,0,0,0,1
20,Jakobi Meyers,,0,38,2,3
5,Ryan Griffin,,0,5,1,1
16,LeVeon Bell,,0,28,4,4
15,Jamison Crowder,,0,25,2,5
0,Ty Montgomery,,0,0,0,1
7,Robby Anderson,,0,11,3,5
23,Braxton Berrios,,0,29,2,6
16,Jaron Brown,,0,30,3,6
40,Tyler Lockett,,1,154,11,14
21,CJ Prosise,,0,38,5,5
9,Nick Vannett,,0,9,1,2
,David Moore,,0,29,1,2
